p_l_0_depth,p_l_1_depth,p_l_2_depth,p_r_0_depth,p_r_1_depth,p_r_2_depth,p_l_0[x],p_l_0[y],p_l_0[z],p_l_1[x],p_l_1[y],p_l_1[z],p_l_2[x],p_l_2[y],p_l_2[z],p_r_0[x],p_r_0[y],p_r_0[z],p_r_1[x],p_r_1[y],p_r_1[z],p_r_2[x],p_r_2[y],p_r_2[z],t_r_l(0,0),t_r_l(1,0),t_r_l(2,0),t_r_l(3,0),t_r_l(0,1),t_r_l(1,1),t_r_l(2,1),t_r_l(3,1),t_r_l(0,2),t_r_l(1,2),t_r_l(2,2),t_r_l(3,2),t_r_l(0,3),t_r_l(1,3),t_r_l(2,3),t_r_l(3,3),
1.237793,1.599571,1.429686,1.875046,1.533951,2.015830,0.132829,-0.608629,-1.237793,0.506181,-0.501940,-1.599571,-0.063048,-0.556866,-1.429686,-0.579669,-0.132948,-1.875046,-0.207521,-0.293290,-1.533951,-0.371226,-0.044417,-2.015830,-0.009265,-0.484190,0.874914,0.000000,0.218860,0.852756,0.474244,0.000000,-0.975712,0.195878,0.098069,0.000000,-1.652963,0.692834,-1.581232,1.000000,0.702605,0.709506,-0.054300,0.000000,-0.302721,0.367090,0.879548,0.000000,0.643978,-0.601537,0.472701,0.000000,1.193519,-1.099627,0.971794,1.000000,
1.237793,1.599571,1.429686,1.875465,1.533612,2.013140,0.132829,-0.608629,-1.237793,0.506181,-0.501940,-1.599571,-0.063048,-0.556866,-1.429686,-0.579798,-0.132978,-1.875465,-0.207475,-0.293225,-1.533612,-0.370730,-0.044358,-2.013140,-0.009573,-0.487213,0.873231,0.000000,0.214378,0.851966,0.477699,0.000000,-0.976704,0.191774,0.096292,0.000000,-1.657007,0.687646,-1.581525,1.000000,0.702163,0.709578,-0.058879,0.000000,-0.302209,0.371881,0.877710,0.000000,0.644699,-0.598501,0.475562,0.000000,1.195037,-1.093404,0.974478,1.000000,
1.237558,1.600426,1.429929,1.874251,1.533644,2.007406,0.132804,-0.608513,-1.237558,0.506452,-0.502209,-1.600426,-0.063059,-0.556961,-1.429929,-0.579423,-0.132892,-1.874251,-0.207480,-0.293231,-1.533644,-0.369674,-0.044231,-2.007406,-0.009113,-0.493098,0.869926,0.000000,0.207745,0.850047,0.484006,0.000000,-0.978141,0.185134,0.094692,0.000000,-1.662303,0.678972,-1.578070,1.000000,0.702827,0.708481,-0.063944,0.000000,-0.302978,0.379461,0.874193,0.000000,0.643613,-0.595033,0.481350,0.000000,1.192263,-1.086104,0.981293,1.000000,
1.237281,1.599023,1.430272,1.874459,1.533724,2.024006,0.132775,-0.608377,-1.237281,0.506008,-0.501769,-1.599023,-0.063074,-0.557094,-1.430272,-0.579488,-0.132906,-1.874459,-0.207490,-0.293246,-1.533724,-0.372731,-0.044597,-2.024006,-0.009704,-0.476180,0.879295,0.000000,0.228006,0.855118,0.465603,0.000000,-0.973611,0.205003,0.100274,0.000000,-1.644116,0.704198,-1.583877,1.000000,0.702769,0.710123,-0.042907,0.000000,-0.302911,0.353255,0.885131,0.000000,0.643709,-0.609045,0.463360,0.000000,1.192593,-1.114972,0.961325,1.000000,
1.237565,1.599979,1.430352,1.873788,1.533454,2.018411,0.132805,-0.608517,-1.237565,0.506310,-0.502068,-1.599979,-0.063078,-0.557126,-1.430352,-0.579280,-0.132859,-1.873788,-0.207454,-0.293195,-1.533454,-0.371701,-0.044474,-2.018411,-0.009577,-0.481062,0.876634,0.000000,0.222172,0.853738,0.470925,0.000000,-0.974961,0.199273,0.098702,0.000000,-1.649390,0.697156,-1.581493,1.000000,0.702950,0.709560,-0.048854,0.000000,-0.303120,0.361017,0.881921,0.000000,0.643413,-0.605138,0.468858,0.000000,1.191552,-1.106701,0.967412,1.000000,
1.237565,1.599979,1.430352,1.874810,1.533961,2.020328,0.132805,-0.608517,-1.237565,0.506310,-0.502068,-1.599979,-0.063078,-0.557126,-1.430352,-0.579596,-0.132931,-1.874810,-0.207522,-0.293292,-1.533961,-0.372054,-0.044516,-2.020328,-0.009926,-0.479896,0.877269,0.000000,0.222938,0.854169,0.469781,0.000000,-0.974782,0.200239,0.098509,0.000000,-1.648972,0.698386,-1.583535,1.000000,0.702736,0.709825,-0.048063,0.000000,-0.302873,0.359609,0.882581,0.000000,0.643762,-0.605665,0.467697,0.000000,1.192973,-1.108091,0.966309,1.000000,
1.237545,1.599837,1.430174,1.874499,1.533942,2.019866,0.132803,-0.608507,-1.237545,0.506265,-0.502024,-1.599837,-0.063070,-0.557056,-1.430174,-0.579500,-0.132909,-1.874499,-0.207520,-0.293288,-1.533942,-0.371969,-0.044506,-2.019866,-0.009638,-0.480072,0.877176,0.000000,0.223290,0.854034,0.469860,0.000000,-0.974704,0.200393,0.098964,0.000000,-1.648587,0.698527,-1.582606,1.000000,0.702888,0.709675,-0.048048,0.000000,-0.303049,0.359893,0.882405,0.000000,0.643513,-0.605671,0.468031,0.000000,1.192310,-1.108040,0.966761,1.000000,
1.237761,1.600387,1.430239,1.874791,1.533748,2.020544,0.132826,-0.608613,-1.237761,0.506439,-0.502197,-1.600387,-0.063073,-0.557081,-1.430239,-0.579590,-0.132930,-1.874791,-0.207494,-0.293251,-1.533748,-0.372094,-0.044521,-2.020544,-0.010269,-0.478891,0.877814,0.000000,0.223508,0.854551,0.468814,0.000000,-0.974648,0.201013,0.098260,0.000000,-1.648577,0.699576,-1.584438,1.000000,0.702608,0.709962,-0.047914,0.000000,-0.302724,0.359168,0.882812,0.000000,0.643972,-0.605766,0.467277,0.000000,1.193297,-1.108253,0.965628,1.000000,
1.237664,1.599719,1.430071,1.874794,1.534204,2.021718,0.132816,-0.608566,-1.237664,0.506228,-0.501987,-1.599719,-0.063065,-0.557016,-1.430071,-0.579591,-0.132930,-1.874794,-0.207555,-0.293338,-1.534204,-0.372310,-0.044547,-2.021718,-0.009547,-0.478212,0.878192,0.000000,0.225790,0.854520,0.467776,0.000000,-0.974129,0.202754,0.099817,0.000000,-1.646560,0.701556,-1.583219,1.000000,0.702902,0.709792,-0.046086,0.000000,-0.303065,0.357481,0.883379,0.000000,0.643490,-0.606963,0.466387,0.000000,1.192520,-1.110821,0.965097,1.000000,
1.237631,1.599951,1.430221,1.873842,1.534055,2.018476,0.132812,-0.608549,-1.237631,0.506301,-0.502060,-1.599951,-0.063072,-0.557074,-1.430221,-0.579297,-0.132863,-1.873842,-0.207535,-0.293310,-1.534055,-0.371713,-0.044475,-2.018476,-0.009028,-0.481263,0.876530,0.000000,0.223014,0.853519,0.470925,0.000000,-0.974773,0.199730,0.099623,0.000000,-1.648793,0.697655,-1.580378,1.000000,0.703311,0.709231,-0.048424,0.000000,-0.303539,0.361204,0.881700,0.000000,0.642820,-0.605411,0.469318,0.000000,1.190640,-1.107399,0.968521,1.000000,
